rd,prime,buffer_from,buffer_to,packet_id,injection_rd
29,1,3,4,33,28
29,1,2,3,32,28
29,1,1,2,37,29
29,1,0,1,34,29
29,1,0,-1,35,29
29,1,-1,-2,36,29
30,0,8,9,27,19
30,0,7,8,28,21
30,0,6,7,29,24
30,0,5,6,30,24
30,0,4,5,31,24
30,0,3,4,33,28
30,0,2,3,32,28
30,0,1,2,37,29
30,0,0,1,34,29
30,0,0,-1,35,29
30,0,-1,-2,36,29
30,0,-2,-3,38,30
30,1,8,9,28,21
30,1,7,8,29,24
30,1,6,7,30,24
30,1,5,6,31,24
30,1,4,5,32,28
30,1,3,4,33,28
30,1,2,3,37,29
30,1,1,2,34,29
30,1,0,1,35,29
30,1,0,-1,36,29
30,1,-1,-2,38,30
31,0,8,9,28,21
31,0,7,8,29,24
31,0,6,7,30,24
31,0,5,6,31,24
31,0,4,5,32,28
31,0,3,4,33,28
31,0,2,3,37,29
31,0,1,2,34,29
31,0,0,1,35,29
31,0,0,-1,36,29
31,0,-1,-2,38,30
31,0,-2,-3,39,31
31,1,8,9,29,24
31,1,7,8,30,24
31,1,6,7,31,24
31,1,5,6,32,28
31,1,4,5,33,28
31,1,3,4,37,29
31,1,2,3,34,29
31,1,1,2,35,29
31,1,0,1,36,29
31,1,0,-1,38,30
31,1,-1,-2,39,31
32,0,8,9,29,24
32,0,7,8,30,24
32,0,6,7,31,24
32,0,5,6,32,28
32,0,4,5,33,28
32,0,3,4,37,29
32,0,2,3,34,29
32,0,1,2,35,29
32,0,0,1,36,29
32,0,0,-1,38,30
32,0,-1,-2,39,31
32,0,-2,-3,40,32
32,1,8,9,30,24
32,1,7,8,31,24
32,1,6,7,32,28
32,1,5,6,33,28
32,1,4,5,37,29
32,1,3,4,35,29
32,1,2,3,34,29
32,1,1,2,36,29
32,1,0,1,38,30
32,1,0,-1,39,31
32,1,-1,-2,40,32
33,0,8,9,30,24
33,0,7,8,31,24
33,0,6,7,32,28
33,0,5,6,33,28
33,0,4,5,37,29
33,0,3,4,35,29
33,0,2,3,34,29
33,0,1,2,36,29
33,0,0,1,38,30
33,0,0,-1,39,31
33,0,-1,-2,40,32
33,0,-2,-3,41,33
33,1,8,9,31,24
